"behavior","flight_id","source_flight_object","radar_object","drone_object","radar_file","drone_file","radar_location_file","radar_site","radar_type","offset_GPS","configured_start_time","configured_end_time","drone_indices","detection_rate_include","positional_discrepancy_include","exclusion_notes"
"DynoSoaring","DynoSoaring_52","flight52","radar_0109_0418","drone_0109_0418","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_0418_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-04-18PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-10T00:20:23Z","2026-01-10T00:26:19Z","895:4451",TRUE,TRUE,
"DynoSoaring","DynoSoaring_53","flight53","radar_0109_0428","drone_0109_0428","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_0428_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-04-28PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-10T00:30:06Z","2026-01-10T00:35:42Z","812:4172",TRUE,TRUE,
"DynoSoaring","DynoSoaring_54","flight54","radar_0109_0438","drone_0109_0438","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_0438_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-04-38PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-10T00:39:58Z","2026-01-10T00:45:41Z","791:4221",TRUE,TRUE,
"DynoSoaring","DynoSoaring_55","flight55","radar_0109_0448","drone_0109_0448","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_0448_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-04-48PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-10T00:49:45Z","2026-01-10T00:55:31Z","760:4215",TRUE,TRUE,
"Transiting","Transiting_01","flight1","radar_0106_0953","drone_0106_0953","data/Dangermond 2026/9090RADAR_cleanedAndMatched_transiting/0106_0953_Transiting_Final.csv","data/Dangermond 2026/Air3/Transiting/Jan-6th-2026-09-53AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T17:53:37Z","2026-01-06T18:00:29Z","161:4281",TRUE,TRUE,
"Transiting","Transiting_02","flight2","radar_0106_1001","drone_0106_1001","data/Dangermond 2026/9090RADAR_cleanedAndMatched_transiting/0106_1001_Transiting_Final.csv","data/Dangermond 2026/Air3/Transiting/Jan-6th-2026-10-01AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T18:01:52Z","2026-01-06T18:08:11Z","190:3981",TRUE,TRUE,
"Transiting","Transiting_03","flight3","radar_0106_1010","drone_0106_1010","data/Dangermond 2026/9090RADAR_cleanedAndMatched_transiting/0106_1010_Transiting_Final.csv","data/Dangermond 2026/Air3/Transiting/Jan-6th-2026-10-10AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T18:11:07Z","2026-01-06T18:17:09Z","210:3828",TRUE,TRUE,
"Transiting","Transiting_04","flight4","radar_0106_1018","drone_0106_1018","data/Dangermond 2026/9090RADAR_cleanedAndMatched_transiting/0106_1018_Transiting_Final.csv","data/Dangermond 2026/Air3/Transiting/Jan-6th-2026-10-18AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T18:18:32Z","2026-01-06T18:23:47Z","203:3357",TRUE,TRUE,
"Transiting","Transiting_05","flight5","radar_0106_1025","drone_0106_1025","data/Dangermond 2026/9090RADAR_cleanedAndMatched_transiting/0106_1025_Transiting_Final.csv","data/Dangermond 2026/Air3/Transiting/Jan-6th-2026-10-25AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T18:25:41Z","2026-01-06T18:29:51Z","216:2710",TRUE,TRUE,
"Transiting","Transiting_06","flight6","radar_0106_1032","drone_0106_1032","data/Dangermond 2026/9090RADAR_cleanedAndMatched_transiting/0106_1032_Transiting_Final.csv","data/Dangermond 2026/Air3/Transiting/Jan-6th-2026-10-32AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T18:32:27Z","2026-01-06T18:38:20Z","250:3781",TRUE,TRUE,
"Transiting","Transiting_07","flight7","radar_0106_1039","drone_0106_1039","data/Dangermond 2026/9090RADAR_cleanedAndMatched_transiting/0106_1039_Transiting_Final.csv","data/Dangermond 2026/Air3/Transiting/Jan-6th-2026-10-39AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T18:39:54Z","2026-01-06T18:44:55Z","247:3253",TRUE,TRUE,
"Transiting","Transiting_08","flight8","radar_0106_1046","drone_0106_1046","data/Dangermond 2026/9090RADAR_cleanedAndMatched_transiting/0106_1046_Transiting_Final.csv","data/Dangermond 2026/Air3/Transiting/Jan-6th-2026-10-46AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T18:47:12Z","2026-01-06T18:51:26Z","266:2795",TRUE,TRUE,
"Transiting","Transiting_09","flight9","radar_0106_1052","drone_0106_1052","data/Dangermond 2026/9090RADAR_cleanedAndMatched_transiting/0106_1052_Transiting_Final.csv","data/Dangermond 2026/Air3/Transiting/Jan-6th-2026-10-52AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T18:53:21Z","2026-01-06T18:57:26Z","258:2708",TRUE,TRUE,
"Transiting","Transiting_10","flight10","radar_0106_1112","drone_0106_1112","data/Dangermond 2026/9090RADAR_cleanedAndMatched_transiting/0106_1112_Transiting_Final.csv","data/Dangermond 2026/Air3/Transiting/Jan-6th-2026-11-12AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T19:12:43Z","2026-01-06T19:20:29Z","169:4834",TRUE,TRUE,
"Transiting","Transiting_11","flight11","radar_0106_1123","drone_0106_1123","data/Dangermond 2026/9090RADAR_cleanedAndMatched_transiting/0106_1123_Transiting_Final.csv","data/Dangermond 2026/Air3/Transiting/Jan-6th-2026-11-23AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T19:23:19Z","2026-01-06T19:29:59Z","168:4174",TRUE,TRUE,
"Transiting","Transiting_12","flight12","radar_0106_1139","drone_0106_1139","data/Dangermond 2026/9090RADAR_cleanedAndMatched_transiting/0106_1139_Transiting_Final.csv","data/Dangermond 2026/Air3/Transiting/Jan-6th-2026-11-39AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T19:40:04Z","2026-01-06T19:43:57Z","211:2544",TRUE,TRUE,
"Transiting","Transiting_13","flight13","radar_0109_0222","drone_0109_0222","data/Dangermond 2026/9090RADAR_cleanedAndMatched_transiting/0109_0222_Transiting_Final.csv","data/Dangermond 2026/Air3/Transiting/Jan-9th-2026-02-22PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T22:23:08Z","2026-01-09T22:31:30Z","171:5190",TRUE,TRUE,
"Transiting","Transiting_14","flight14","radar_0109_0233","drone_0109_0233","data/Dangermond 2026/9090RADAR_cleanedAndMatched_transiting/0109_0233_Transiting_Final.csv","data/Dangermond 2026/Air3/Transiting/Jan-9th-2026-02-33PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T22:33:22Z","2026-01-09T22:39:49Z","173:4036",TRUE,TRUE,
"Transiting","Transiting_15","flight15","radar_0109_0241","drone_0109_0241","data/Dangermond 2026/9090RADAR_cleanedAndMatched_transiting/0109_0241_Transiting_Final.csv","data/Dangermond 2026/Air3/Transiting/Jan-9th-2026-02-41PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T22:41:48Z","2026-01-09T22:46:18Z","167:2864",TRUE,TRUE,
"Transiting","Transiting_16","flight16","radar_0109_0249","drone_0109_0249","data/Dangermond 2026/9090RADAR_cleanedAndMatched_transiting/0109_0249_Transiting_Final.csv","data/Dangermond 2026/Air3/Transiting/Jan-9th-2026-02-49PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T22:49:43Z","2026-01-09T23:08:42Z","165:11544",TRUE,TRUE,
"Transiting","Transiting_17","flight17","radar_0109_0311","drone_0109_0311","data/Dangermond 2026/9090RADAR_cleanedAndMatched_transiting/0109_0311_Transiting_Final.csv","data/Dangermond 2026/Air3/Transiting/Jan-9th-2026-03-11PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T23:12:02Z","2026-01-09T23:33:26Z","212:13059",TRUE,TRUE,
"Chasing","Chasing_01","flight1","radar_0109_1219","drone_0109_1219","data/Dangermond 2026/9090RADAR_cleanedAndMatched_chasing/0109_1219_Chasing_Final.csv","data/Dangermond 2026/Air2/Chasing/Jan-9th-2026-12-19PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T20:19:39Z","2026-01-09T20:28:48Z","353:5832",TRUE,TRUE,
"Chasing","Chasing_02","flight2","radar_0109_1230","drone_0109_1230","data/Dangermond 2026/9090RADAR_cleanedAndMatched_chasing/0109_1230_Chasing_Final.csv","data/Dangermond 2026/Air3/Chasing/Jan-9th-2026-12-30PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T20:30:20Z","2026-01-09T20:39:57Z","155:5922",TRUE,TRUE,
"Cube","Cube_01","flight1","radar_0827_1143","drone_0827_1143","data/Dangermond 2024/7360RADAR_cleanedAndMatched_cube_noRotation/1143_Cube_Final.csv","data/Dangermond 2024/drones/Dana DJI Mavic Enterprise 3/cube/Aug-27th-2024-11-43AM-Flight-Airdata.csv","data/Dangermond 2024/Dangermond_RadarLocation_govtpt_2024_08_27.txt","Government Point 2024",7360,-6,"2024-08-27T18:44:35Z","2024-08-27T18:54:28Z","213:3107",TRUE,TRUE,
"Cube","Cube_02","flight2","radar_0827_1200","drone_0827_1200","data/Dangermond 2024/7360RADAR_cleanedAndMatched_cube_noRotation/1200_Cube_Final.csv","data/Dangermond 2024/drones/Dana DJI Mavic Enterprise 3/cube/Aug-27th-2024-12-00PM-Flight-Airdata.csv","data/Dangermond 2024/Dangermond_RadarLocation_govtpt_2024_08_27.txt","Government Point 2024",7360,-6.5,"2024-08-27T19:00:27Z","2024-08-27T19:12:29Z","268:3243",TRUE,TRUE,
"Cube","Cube_03","flight3","radar_0827_0124","drone_0827_0124","data/Dangermond 2024/7360RADAR_cleanedAndMatched_cube_noRotation/0124_Cube_Final.csv","data/Dangermond 2024/drones/Dana DJI Mavic Enterprise 3/cube/Aug-27th-2024-01-24PM-Flight-Airdata.csv","data/Dangermond 2024/Dangermond_RadarLocation_govtpt_2024_08_27.txt","Government Point 2024",7360,-4,"2024-08-27T20:23:30Z","2024-08-27T20:33:30Z","318:2563",TRUE,TRUE,
"Cube","Cube_04","flight4","radar_0827_0148","drone_0827_0148","data/Dangermond 2024/7360RADAR_cleanedAndMatched_cube_noRotation/0148_Cube_Final.csv","data/Dangermond 2024/drones/Dana DJI Mavic Enterprise 3/cube/Aug-27th-2024-01-48PM-Flight-Airdata.csv","data/Dangermond 2024/Dangermond_RadarLocation_govtpt_2024_08_27.txt","Government Point 2024",7360,-4.5,"2024-08-27T20:48:07Z","2024-08-27T20:57:18Z","229:2450",TRUE,TRUE,
"Cube","Cube_05","flight5","radar_0827_0210","drone_0827_0210","data/Dangermond 2024/7360RADAR_cleanedAndMatched_cube_noRotation/0210_Cube_Final.csv","data/Dangermond 2024/drones/Dana DJI Mavic Enterprise 3/cube/Aug-27th-2024-02-10PM-Flight-Airdata.csv","data/Dangermond 2024/Dangermond_RadarLocation_govtpt_2024_08_27.txt","Government Point 2024",7360,-8,"2024-08-27T21:10:53Z","2024-08-27T21:20:25Z","171:2649",TRUE,TRUE,
"Cube","Cube_06","flight6","radar_0827_0308","drone_0827_0308","data/Dangermond 2024/7360RADAR_cleanedAndMatched_cube_noRotation/0308_Cube_Finals.csv","data/Dangermond 2024/drones/Dana DJI Mavic Enterprise 3/cube/Aug-27th-2024-03-08PM-Flight-Airdata.csv","data/Dangermond 2024/Dangermond_RadarLocation_govtpt_2024_08_27.txt","Government Point 2024",7360,-5.5,"2024-08-27T22:08:22Z","2024-08-27T22:18:30Z","211:2731",TRUE,TRUE,
